PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
1	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	1.99658891765281	0.635736749306757	0.817997201021407	InUKBB	WBS-R	England-NorthernIreland
2	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.259447931385127	0.646471708489248	0.831809783940253	InUKBB	WBS-R	England-NorthernIreland
3	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.0376168700950349	0.646697374099137	0.83210014600829	InUKBB	WBS-R	England-NorthernIreland
4	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.0124453321421393	0.646722074971325	0.832131928415606	InUKBB	WBS-R	England-NorthernIreland
5	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00540418337854026	0.646726732562775	0.832137921299884	InUKBB	WBS-R	England-NorthernIreland
6	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.009163680944949	0.646740124390688	0.832155152453756	InUKBB	WBS-R	England-NorthernIreland
7	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.0138834378535449	0.646770863724515	0.832194704499566	InUKBB	WBS-R	England-NorthernIreland
8	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00682769359127496	0.646778298166417	0.832204270334282	InUKBB	WBS-R	England-NorthernIreland
9	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.024794234846311	0.646876337809172	0.832330417129241	InUKBB	WBS-R	England-NorthernIreland
10	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00510674425308018	0.646880496813601	0.832335768485735	InUKBB	WBS-R	England-NorthernIreland
11	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00734294642051316	0.646889095642369	0.832346832527372	InUKBB	WBS-R	England-NorthernIreland
12	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00868312498858845	0.646901119719561	0.832362303807739	InUKBB	WBS-R	England-NorthernIreland
13	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.000438496877866229	0.64690115038388	0.832362343263263	InUKBB	WBS-R	England-NorthernIreland
14	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00500263147673018	0.646905141517256	0.832367478621466	InUKBB	WBS-R	England-NorthernIreland
15	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.00336632418538618	0.646906948743051	0.832369803963903	InUKBB	WBS-R	England-NorthernIreland
16	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	0.00766142062349077	0.646916309680744	0.832381848604771	InUKBB	WBS-R	England-NorthernIreland
17	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.00497981969314907	0.646920264498791	0.832386937236341	InUKBB	WBS-R	England-NorthernIreland
18	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.000432669775374257	0.646920294353643	0.832386975650332	InUKBB	WBS-R	England-NorthernIreland
19	8.69149634628868e-05	2.55993097427485e-12	0	0.777186949433241	-0.0199957375146698	0.646984058317679	0.832469020213848	InUKBB	WBS-R	England-NorthernIreland
